subject_id,overall_acc,amb_high,amb_low,amb_medium,rt_fast,rt_slow,mean_across_amb,std_across_amb,range_across_amb,mean_across_rt,std_across_rt,device,date,time
0927_0930_539136F,0.7633587786259542,0.6818181818181818,1.0,0.6363636363636364,0.8666666666666667,0.625,0.7727272727272726,0.19813177016093972,0.36363636363636365,0.7458333333333333,0.170884138786749,539136F,0927,0930
0927_0930_U9TEJGM,0.5353535353535354,0.6388888888888888,0.4838709677419355,0.375,0.5909090909090909,0.5194805194805194,0.4992532855436081,0.13261522610721146,0.26388888888888884,0.5551948051948052,0.05050762722761059,U9TEJGM,0927,0930
0928_1600_539136F,0.3727272727272727,0.6176470588235294,0.5897435897435898,0.054054054054054,0.3103448275862069,0.4615384615384615,0.42048156754039107,0.31764208297470375,0.5635930047694755,0.3859416445623342,0.10691004383987586,539136F,0928,1600
0928_1600_9M4VCHG,0.6666666666666666,0.6410256410256411,0.9743589743589745,0.5641025641025641,0.8333333333333334,0.6507936507936508,0.7264957264957266,0.21807437302859958,0.41025641025641035,0.7420634920634921,0.12907504735944916,9M4VCHG,0928,1600
0928_1600_U9TEJGM,0.7956989247311828,0.5483870967741935,1.0,0.9,0.9743589743589745,0.6851851851851852,0.8161290322580644,0.23720098653354502,0.4516129032258065,0.8297720797720798,0.20447674726619539,U9TEJGM,0928,1600
0930_1700_539136F,0.9052631578947368,0.9375,1.0,1.0,0.8735632183908046,0.875,0.9791666666666666,0.03608439182435161,0.0625,0.8742816091954023,0.0010159580189461582,539136F,0930,1700
0930_1700_9M4VCHG,0.625,0.5128205128205128,0.6111111111111112,0.7297297297297297,0.75,0.5555555555555556,0.6178871178871179,0.10861324871264001,0.21690921690921694,0.6527777777777778,0.13749298523071754,9M4VCHG,0930,1700
0930_1700_U9TEJGM,0.7073170731707317,0.7804878048780488,0.6829268292682927,0.6097560975609756,0.75,0.6936936936936937,0.6910569105691057,0.08565572156790846,0.1707317073170732,0.7218468468468469,0.03981457101275604,U9TEJGM,0930,1700
1005_1600_539136F,0.7768595041322314,0.4523809523809524,1.0,0.875,0.8105263157894737,0.7692307692307693,0.7757936507936508,0.2869722636788044,0.5476190476190477,0.7898785425101215,0.029200361004464662,539136F,1005,1600
1005_1600_9M4VCHG,0.8373983739837398,0.5476190476190477,1.0,0.975609756097561,0.8588235294117647,0.7631578947368421,0.8410762679055361,0.25443383443070144,0.45238095238095233,0.8109907120743034,0.06764581900515262,9M4VCHG,1005,1600
1005_1600_U9TEJGM,0.9019607843137256,0.6842105263157895,1.0,1.0,0.902439024390244,0.6,0.8947368421052632,0.18232113763882918,0.3157894736842105,0.751219512195122,0.2138566850417852,U9TEJGM,1005,1600
